voc_id,category,sub_category,customer_text,cause,status,priority,policy
VOC-001,결제,주문생성,결제는 완료되었는데 주문 내역에 보이지 않습니다.,결제 승인 후 주문 생성 동기화 지연,조사중,긴급,결제 승인 후 주문 미생성 건은 재처리하고 고객에게 처리 상태를 안내
VOC-002,결제,쿠폰,쿠폰을 적용했는데 결제 금액이 할인되지 않았습니다.,쿠폰 적용 조건 또는 결제 단계 반영 오류,확인중,높음,쿠폰 조건 확인 후 미반영 시 차액 보상 검토
VOC-003,로그인,인증번호,로그인 인증번호가 너무 늦게 도착합니다.,문자 발송 지연 또는 통신사 큐 적체,개선중,보통,재전송 버튼과 대체 인증수단 제공
VOC-004,배송,배송지연,배송 예정일이 지났는데 배송 상태가 바뀌지 않습니다.,택배사 상태 동기화 지연,조사중,높음,배송 추적 재조회 및 지연 안내 자동화
VOC-005,환불,처리상태,환불 신청을 했는데 처리 상태를 알 수 없습니다.,환불 단계별 상태 안내 부족,개선중,높음,접수·승인·입금 단계별 상태와 예상 소요기간 제공
VOC-006,앱,멈춤,앱이 계속 멈추고 실행되지 않습니다.,특정 OS 버전 충돌 또는 메모리 오류,조사중,높음,앱 버전과 OS 정보를 확인하고 안전한 재실행 절차 안내
VOC-007,결제,주문조회,결제됫는대 주문 안보여요.,오타 포함 결제·주문조회 문의,조사중,긴급,오타를 보정해 결제 승인과 주문 생성 상태 확인
VOC-008,개인정보,삭제,개인정보를 삭제해 달라고 요청합니다.,회원 탈퇴 및 개인정보 삭제 절차 문의,정상,높음,본인 확인 후 보유기간과 삭제 범위를 명확히 안내
VOC-009,배송,파손,상품이 파손되어 도착했습니다.,배송 과정 충격 또는 포장 불량,개선중,높음,사진 접수 후 교환·환불 절차와 포장 개선
VOC-010,상품,재고,결제 후 품절이라고 연락받았습니다.,재고 동기화 지연,조사중,높음,재고 예약과 결제 단계 검증 강화
VOC-011,결제,중복결제,같은 주문이 두 번 결제됐어요.,중복 요청 방지 실패,조사중,긴급,중복 결제 확인 후 즉시 취소 또는 환불 절차 안내
VOC-012,배송,주소변경,배송지를 바꾸고 싶습니다.,출고 단계별 변경 가능 여부 불명확,정상,보통,출고 전후 주소 변경 정책을 구분해 안내
